;Désignation;Compte;Rubrique;Emplacement;Colonne1;Code d'idenification;FOURNISSEUR;Date d'achat;Mis en service;Fin amort.;Durée;Cout d'acquisition en USD ;Taux USD / CDF ;Taux d'amortissement ;Cout d'acquisition en CDF ;mois;prorata;Amortissement 2023;Cumul Amort 2023;VNC 2023;Amortissement 2024;Cumul Amort 2024;VNC 2024;Coéfficient de Révaluation;VBR;CV;AR;CA;SA;ER;
;Table de bureau;244400;MOBILIER DE BUREAU ;BUREAU DG;;;DREAMS;8/08/2024;8/08/24;8/08/2027;3,00;;2800,00;33,33; 	238 000,00 FC ;8;5;;;; 	33 055,56 FC ;33 055,56;204944,444444445;1,03;245 140,00; 	7 140,00 FC ; 	34 047,22 FC ; 	991,67 FC ;0; 	6 148,33 FC ;
111;Fauteuil de Bureau PU CLR BLACK (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU DG;;TA/244400/2024/0010/004;DREAMS;8/08/2024;8/08/24;8/08/2027;3,00;;2800,00;33,33; 	378 000,00 FC ;8;5;;;; 	52 500,00 FC ;52 500,00;325500;1,03;389 340,00; 	11 340,00 FC ; 	54 075,00 FC ; 	1 575,00 FC ;0; 	9 765,00 FC ;
121;split12000 BTU OCEAN;244400;MOBILIER DE BUREAU ;BUREAU AP;;;STE PROTEK sarl;11/11/2024;11/11/24;11/11/2026;3,00;;;33,33; 	1 052 650,00 FC ;11;2;;;; 	58 480,56 FC ;58 480,56;994169,444444445;1,03;1 084 229,50; 	31 579,50 FC ; 	60 234,97 FC ; 	1 754,42 FC ;0; 	29 825,08 FC ;
157;Armoire en Bois ;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR DES OPERATION ;;TA/244400/2023/1007/001;NZUZI KHONDE;23/04/2024;23/04/24;23/04/2027;3,00;;;33,33; 	357 500,00 FC ;4;9;;;; 	89 375,00 FC ;89 375,00;268125;1,08;386 100,00; 	28 600,00 FC ; 	96 525,00 FC ; 	7 150,00 FC ;0; 	21 450,00 FC ;
161;Table Special Marque DT Staff desk 140*70*75cm-gold teak;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR DES OPERATION ;;TA/244400/2023/1007/001;DREAMS;8/08/2024;8/08/24;8/08/2027;3,00;;2800,00;33,33; 	238 000,00 FC ;8;5;;;; 	33 055,56 FC ;33 055,56;204944,444444445;1,03;245 140,00; 	7 140,00 FC ; 	34 047,22 FC ; 	991,67 FC ;0; 	6 148,33 FC ;
166;Armoire en Bois ;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;;TA/244400/2023/4002/004;NZUZI KHONDE;23/04/2024;23/04/24;23/04/2027;3,00;;;33,33; 	357 500,00 FC ;4;9;;;; 	89 375,00 FC ;89 375,00;268125;1,08;386 100,00; 	28 600,00 FC ; 	96 525,00 FC ; 	7 150,00 FC ;0; 	21 450,00 FC ;
167;Armoire en Bois ;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;;TA/244400/2023/4002/005;NZUZI KHONDE;23/04/2024;23/04/24;23/04/2027;3,00;;;33,33; 	357 500,00 FC ;4;9;;;; 	89 375,00 FC ;89 375,00;268125;1,08;386 100,00; 	28 600,00 FC ; 	96 525,00 FC ; 	7 150,00 FC ;0; 	21 450,00 FC ;
168;Armoire en Bois ;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;;TA/244400/2023/4002/006;NZUZI KHONDE;23/04/2024;23/04/24;23/04/2027;3,00;;;33,33; 	357 500,00 FC ;4;9;;;; 	89 375,00 FC ;89 375,00;268125;1,08;386 100,00; 	28 600,00 FC ; 	96 525,00 FC ; 	7 150,00 FC ;0; 	21 450,00 FC ;
169;Split Hisenses ;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;;TA/244400/2023/4002/007;SAMY TECH;1/04/2024;5/04/24;5/04/2027;3,00;;;33,33; 	997 500,00 FC ;4;9;;;; 	249 375,00 FC ;249 375,00;748125;1,08;1 077 300,00; 	79 800,00 FC ; 	269 325,00 FC ; 	19 950,00 FC ;0; 	59 850,00 FC ;
192;Armoire en Bois ;244400;MOBILIER DE BUREAU ;SERVICE DE TRESORERIE ;;TA/244400/2023/4003/012;NZUZI KHONDE;23/04/2024;23/04/24;23/04/2027;3,00;;;33,33; 	357 500,00 FC ;4;9;;;; 	89 375,00 FC ;89 375,00;268125;1,08;386 100,00; 	28 600,00 FC ; 	96 525,00 FC ; 	7 150,00 FC ;0; 	21 450,00 FC ;
193;Armoire en Bois ;244400;MOBILIER DE BUREAU ;SERVICE DE TRESORERIE ;;TA/244400/2023/4003/013;NZUZI KHONDE;23/04/2024;23/04/24;23/04/2027;3,00;;;33,33; 	357 500,00 FC ;4;9;;;; 	89 375,00 FC ;89 375,00;268125;1,08;386 100,00; 	28 600,00 FC ; 	96 525,00 FC ; 	7 150,00 FC ;0; 	21 450,00 FC ;
194;Armoire en Bois ;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR FINANCIER ;;TA/244400/2023/4005/001;NZUZI KHONDE;23/04/2024;23/04/24;23/04/2027;3,00;;;33,33; 	357 500,00 FC ;4;9;;;; 	89 375,00 FC ;89 375,00;268125;1,08;386 100,00; 	28 600,00 FC ; 	96 525,00 FC ; 	7 150,00 FC ;0; 	21 450,00 FC ;
195;Armoire en Bois ;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR FINANCIER ;;TA/244400/2023/4005/002;NZUZI KHONDE;23/04/2024;23/04/24;23/04/2027;3,00;;;33,33; 	357 500,00 FC ;4;9;;;; 	89 375,00 FC ;89 375,00;268125;1,08;386 100,00; 	28 600,00 FC ; 	96 525,00 FC ; 	7 150,00 FC ;0; 	21 450,00 FC ;
196;Armoire en Bois ;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR FINANCIER ;;TA/244400/2023/4005/003;NZUZI KHONDE;23/04/2024;23/04/24;23/04/2027;3,00;;;33,33; 	357 500,00 FC ;4;9;;;; 	89 375,00 FC ;89 375,00;268125;1,08;386 100,00; 	28 600,00 FC ; 	96 525,00 FC ; 	7 150,00 FC ;0; 	21 450,00 FC ;
224;Table Noir;244400;MOBILIER DE BUREAU ;ETUDE ET PROGET ;;TA/244400/2023/2004/001;HORS BUSINESS;3/10/2024;3/10/24;3/10/2027;3,00;;;33,33; 	464 000,00 FC ;10;3;;;; 	38 666,67 FC ;38 666,67;425333,333333333;1,03;477 920,00; 	13 920,00 FC ; 	39 826,67 FC ; 	1 160,00 FC ;0; 	12 760,00 FC ;
225;Table Noir;244400;MOBILIER DE BUREAU ;ETUDE ET PROGET ;;TA/244400/2023/2004/002;HORS BUSINESS;3/10/2024;3/10/24;3/10/2027;3,00;;;33,33; 	464 000,00 FC ;10;3;;;; 	38 666,67 FC ;38 666,67;425333,333333333;1,03;477 920,00; 	13 920,00 FC ; 	39 826,67 FC ; 	1 160,00 FC ;0; 	12 760,00 FC ;
226;Table Noir;244400;MOBILIER DE BUREAU ;ETUDE ET PROGET ;;TA/244400/2023/2004/003;HORS BUSINESS;3/10/2024;3/10/24;3/10/2027;3,00;;;33,33; 	464 000,00 FC ;10;3;;;; 	38 666,67 FC ;38 666,67;425333,333333333;1,03;477 920,00; 	13 920,00 FC ; 	39 826,67 FC ; 	1 160,00 FC ;0; 	12 760,00 FC ;
227;Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;ETUDE ET PROGET ;;TA/244400/2023/2004/004;HORS BUSINESS;3/10/2024;3/10/24;3/10/2027;3,00;;;33,33; 	275 500,00 FC ;10;3;;;; 	22 958,33 FC ;22 958,33;252541,666666667;1,03;283 765,00; 	8 265,00 FC ; 	23 647,08 FC ; 	688,75 FC ;0; 	7 576,25 FC ;
228;Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;ETUDE ET PROGET ;;TA/244400/2023/2004/005;HORS BUSINESS;3/10/2024;3/10/24;3/10/2027;3,00;;;33,33; 	275 500,00 FC ;10;3;;;; 	22 958,33 FC ;22 958,33;252 541,67;1,03;283 765,00; 	8 265,00 FC ; 	23 647,08 FC ; 	688,75 FC ;0; 	7 576,25 FC ;
229;Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;ETUDE ET PROGET ;;TA/244400/2023/2004/006;HORS BUSINESS;3/10/2024;3/10/24;3/10/2027;3,00;;;33,33; 	275 500,00 FC ;10;3;;;; 	22 958,33 FC ;22 958,33;252 541,67;1,03;283 765,00; 	8 265,00 FC ; 	23 647,08 FC ; 	688,75 FC ;0; 	7 576,25 FC ;
262;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2029;3,00;;2800,00;33,33; 	1 368 000,00 FC ;8;5;;;; 	190 000,00 FC ;190 000,00;1178000;1,03;1 409 040,00; 	41 040,00 FC ; 	195 700,00 FC ; 	5 700,00 FC ;0; 	35 340,00 FC ;
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/23;3/08/2027; 3,00 ;;2800,00;33,3333333333333; 	1 368 000,00 FC ;8;5;;;; 	190 000,00 FC ;190 000,00;1178000;1,03;1 409 040,00; 	41 040,00 FC ; 	195 700,00 FC ; 	5 700,00 FC ;0; 	35 340,00 FC ;
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	1 368 000,00 FC ;8;5;;;; 	190 000,00 FC ;190 000,00;1178000;1,03;1 409 040,00; 	41 040,00 FC ; 	195 700,00 FC ; 	5 700,00 FC ;0; 	35 340,00 FC ;
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	1 368 000,00 FC ;8;5;;;; 	190 000,00 FC ;190 000,00;1178000;1,03;1 409 040,00; 	41 040,00 FC ; 	195 700,00 FC ; 	5 700,00 FC ;0; 	35 340,00 FC ;
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	1 368 000,00 FC ;8;5;;;; 	190 000,00 FC ;190 000,00;1178000;1,03;1 409 040,00; 	41 040,00 FC ; 	195 700,00 FC ; 	5 700,00 FC ;0; 	35 340,00 FC ;
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	1 368 000,00 FC ;8;5;;;; 	190 000,00 FC ;190 000,00;1178000;1,03;1 409 040,00; 	41 040,00 FC ; 	195 700,00 FC ; 	5 700,00 FC ;0; 	35 340,00 FC ;
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	1 368 000,00 FC ;8;5;;;; 	190 000,00 FC ;190 000,00;1178000;1,03;1 409 040,00; 	41 040,00 FC ; 	195 700,00 FC ; 	5 700,00 FC ;0; 	35 340,00 FC ;
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	1 368 000,00 FC ;8;5;;;; 	190 000,00 FC ;190 000,00;1178000;1,03;1 409 040,00; 	41 040,00 FC ; 	195 700,00 FC ; 	5 700,00 FC ;0; 	35 340,00 FC ;
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	1 368 000,00 FC ;8;5;;;; 	190 000,00 FC ;190 000,00;1178000;1,03;1 409 040,00; 	41 040,00 FC ; 	195 700,00 FC ; 	5 700,00 FC ;0; 	35 340,00 FC ;
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	1 368 000,00 FC ;8;5;;;; 	190 000,00 FC ;190 000,00;1178000;1,03;1 409 040,00; 	41 040,00 FC ; 	195 700,00 FC ; 	5 700,00 FC ;0; 	35 340,00 FC ;
;ZOOM HANDY RECOVER ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	1 368 000,00 FC ;8;5;;;; 	190 000,00 FC ;190 000,00;1178000;1,03;1 409 040,00; 	41 040,00 FC ; 	195 700,00 FC ; 	5 700,00 FC ;0; 	35 340,00 FC ;
;ZOOM HANDY RECOVER ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	769 500,00 FC ;8;5;;;; 	106 875,00 FC ;106 875,00;662625;1,03;792 585,00; 	23 085,00 FC ; 	110 081,25 FC ; 	3 206,25 FC ;0; 	19 878,75 FC ;
;GODOX KIT TTL V1;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	1 026 000,00 FC ;8;5;;;; 	142 500,00 FC ;142 500,00;883500;1,03;1 056 780,00; 	30 780,00 FC ; 	146 775,00 FC ; 	4 275,00 FC ;0; 	26 505,00 FC ;
;WIRELESS PRO COMPACT MIVROPHONE ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	2 223 000,00 FC ;8;5;;;; 	308 750,00 FC ;308 750,00;1914250;1,03;2 289 690,00; 	66 690,00 FC ; 	318 012,50 FC ; 	9 262,50 FC ;0; 	57 427,50 FC ;
;WIRELESS PRO COMPACT MIVROPHONE ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	2 223 000,00 FC ;8;5;;;; 	308 750,00 FC ;308 750,00;1914250;1,03;2 289 690,00; 	66 690,00 FC ; 	318 012,50 FC ; 	9 262,50 FC ;0; 	57 427,50 FC ;
;FIREWAY M40;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	541 500,00 FC ;8;5;;;; 	75 208,33 FC ;75 208,33;466291,666666667;1,03;557 745,00; 	16 245,00 FC ; 	77 464,58 FC ; 	2 256,25 FC ;0; 	13 988,75 FC ;
;SUPPORT PROFESSIONNEL POUR CAMERA;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	3 847 500,00 FC ;8;5;;;; 	534 375,00 FC ;534 375,00;3313125;1,03;3 962 925,00; 	115 425,00 FC ; 	550 406,25 FC ; 	16 031,25 FC ;0; 	99 393,75 FC ;
;TOYOTA V8;245100; ATC 5542;Direction General ;JTMAA7BJ804047060;TA/245100/2024/0010/001;CFAO;1/08/24;01/08/2024;1/08/2029;5;191640,78;2800;20;536 594 184,00;8;5;0;;; 	44 716 182,00 FC ;44 716 182,00;491 878 002,00;1,03;552 692 009,52;16 097 825,52;46 057 667,46 ;1 341 485,46;0,00;14 756 340,06;
;TOYOTA V8;245100; ATC 5541;Direction General ;JTMAA7BJ404061442;TA/245100/2024/0011/001;CFAO;1/08/24;01/08/2024;1/08/2029;5;191640,78;2800;20;536 594 184,00;8;5;0;;; 	44 716 182,00 FC ;44 716 182,00;491 878 002,00;1,03;552 692 009,52;16 097 825,52;46 057 667,46 ;1 341 485,46;0,00;14 756 340,06;
;TOYOTA PICK UP;245100;ATC 5535;PCA;MR0DB8CD900193985;TA/245100/2024/PCA/001;CFAO;1/08/24;01/08/2024;1/08/2029;5;191640,78;2800;20;536 594 184,00;8;5;0;;; 	44 716 182,00 FC ;44 716 182,00;491 878 002,00;1,03;552 692 009,52;16 097 825,52;46 057 667,46 ;1 341 485,46;0,00;14 756 340,06;
;TOYOTA V8;245100;;Direction des Techniques;JTMAA7BJ704061466;TA/245100/2024/1005/001;CFAO;1/08/24;01/08/2024;1/08/2029;5;61952;2800;20;173 465 600,00;8;5;0;;; 	14 455 466,67 FC ;14 455 466,67;159 010 133,33;1,03;178 669 568,00;5 203 968,00;14 889 130,67 ;433 664,00;0,00;4 770 304,00;
;TVS MOTO;245100;01HC096;COURRIER ;MD625NF56NAG19371;TA/245100/2024/0008/001;;21/06/24;21/06/2024;21/06/2029;5;1340;2700;20;3 618 000,00;6;7;0;;; 	422 100,00 FC ;422 100,00;3 195 900,00;1,03;3 726 540,00;108 540,00;434 763,00 ;12 663,00;0,00;95 877,00;
;TVS MOTO;245100;01HM262;COURRIER ;MD625NF56N1K00529;TA/245100/2024/0008/002;;8/06/24;08/06/2024;8/06/2029;5;1340;2700;20;3 618 000,00;6;7;0;;; 	422 100,00 FC ;422 100,00;3 195 900,00;1,03;3 726 540,00;108 540,00;434 763,00 ;12 663,00;0,00;95 877,00;
;TVS MOTO;245100;;PCA;;TA/245100/2024/PCA/002;;2023;21/07/2023;;5;1 437,05;2365,95;20;3 400 000,00;12;1;680 000,00;680 000,00;2 720 000,00; 	680 000,00 FC ; 	1 360 000,00 FC ; 	2 040 000,00 FC ;1,17;3 978 000,00;578 000,00;1 591 200,00;231 200,00;0,00;346 800,00;
;TVS MOTO;245100;;CONTROLLEUR ;MD625NF      N1K00476;TA/245100/2024/2006/001;;2023;01/03/2023;;5;1 500,00;2365,95;20;3 548 925,00;12;1;709 785,00;709 785,00;2 839 140,00; 	709 785,00 FC ; 	1 419 570,00 FC ; 	2 129 355,00 FC ;1,3;4 613 602,50;1 064 677,50;1 845 441,00;425 871,00;0,00;638 806,50;
;TVS MOTO;245100;;CONTROLLEUR ;;TA/245100/2024/2006/002;;2023;13/03/2023;;5;1 360,00;2365,95;20;3 217 692,00;12;1;643 538,40;643 538,40;2 574 153,60; 	643 538,40 FC ; 	1 287 076,80 FC ; 	1 930 615,20 FC ;1,3;4 182 999,60;965 307,60;1 673 199,84;386 123,04;0,00;579 184,56;
;ANKAII AUTOBUS ;245100;6087BP/01;OPERATION;LA83G2ME6NA500754;TA/245100/2022/2001/001;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME8NA500724;TA/245100/2022/2001/002;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6054BP/01;OPERATION;LA83G2ME1NA500709;TA/245100/2022/2001/003;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6082BP/01;OPERATION;LA83G2ME8NA500738;TA/245100/2022/2001/004;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME3NA500727;TA/245100/2022/2001/005;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME6NA500723;TA/245100/2022/2001/006;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6063BP/01;OPERATION;LA83G2ME1NA500726;TA/245100/2022/2001/007;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME0NA500720;TA/245100/2022/2001/008;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME6NA500740;TA/245100/2022/2001/009;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME7NA500732;TA/245100/2022/2001/010;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
